"block_id","program","k","N","q","prev","draws","seed","wall_secs","file","md5","demo","package_version","r_version"
336,"prev_strata",5,20,0.85,0.95,50000,20300336,2369.741,"block_0336.rds","fedaea7616cac2d01f0a6bb43dde79d6",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
337,"prev_strata",5,20,0.92,0.05,50000,20300337,2600.065,"block_0337.rds","6f506b0a1bfd3aae3422584ff2aebf43",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
338,"prev_strata",5,20,0.92,0.2,50000,20300338,2907.662,"block_0338.rds","f8be9a66be3176fd5688a75ff5992761",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
339,"prev_strata",5,20,0.92,0.5,50000,20300339,2728.692,"block_0339.rds","ccb012974e0e199265dc84fc0d38fe17",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
341,"prev_strata",5,20,0.92,0.95,50000,20300341,2579.014,"block_0341.rds","f0677b67ce35d0ab4d2a4ddbbf3ed319",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
340,"prev_strata",5,20,0.92,0.8,50000,20300340,2932.936,"block_0340.rds","b884941d9f3603842eb46ad6d7411e77",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
342,"prev_strata",5,20,0.97,0.05,50000,20300342,2955.142,"block_0342.rds","a70d513577017c97f7fb428893a90362",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
344,"prev_strata",5,20,0.97,0.5,50000,20300344,3496.076,"block_0344.rds","9819b0b2a2feb54af656b7bab6a9463e",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
343,"prev_strata",5,20,0.97,0.2,50000,20300343,3567.734,"block_0343.rds","d2c77e85a2de10fd0a0124b653b97295",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
347,"prev_strata",5,30,0.65,0.05,50000,20300347,2163.232,"block_0347.rds","dd2d953977b5b28e3d652302515606ac",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
345,"prev_strata",5,20,0.97,0.8,50000,20300345,3632.067,"block_0345.rds","281ee130a8f6bf420d33c1ac994e8fc9",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
346,"prev_strata",5,20,0.97,0.95,50000,20300346,3023.526,"block_0346.rds","9f3c394cf4dbbb9c77acfe19ee67209c",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
350,"prev_strata",5,30,0.65,0.8,50000,20300350,2310.494,"block_0350.rds","21773a835d40cb5f62167a87091e6849",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
348,"prev_strata",5,30,0.65,0.2,50000,20300348,2289.598,"block_0348.rds","d673f9560e49a0f1317f8b567f371d4d",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
349,"prev_strata",5,30,0.65,0.5,50000,20300349,2322.704,"block_0349.rds","299657d284e27f15aec7c6f982a2571b",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
353,"prev_strata",5,30,0.75,0.2,50000,20300353,2394.21,"block_0353.rds","f0ced8837f10fd253f2d835e68689b19",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
351,"prev_strata",5,30,0.65,0.95,50000,20300351,2192.19,"block_0351.rds","94726a32a43c456c88f875698161ca4e",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
352,"prev_strata",5,30,0.75,0.05,50000,20300352,2274.724,"block_0352.rds","d89e143f93943c574c600ed67e63458d",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
356,"prev_strata",5,30,0.75,0.95,50000,20300356,2283.468,"block_0356.rds","bb7ccefac815cd321d147ba7e59c9752",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
354,"prev_strata",5,30,0.75,0.5,50000,20300354,2288.549,"block_0354.rds","604dcfd6b7a96483a1f4a942cc71b17b",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
355,"prev_strata",5,30,0.75,0.8,50000,20300355,2350.184,"block_0355.rds","7ce13650f64ef24bb3239a72add7b927",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
359,"prev_strata",5,30,0.85,0.5,50000,20300359,2452.75,"block_0359.rds","0af83ff11b81ac6b56d2587307719337",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
357,"prev_strata",5,30,0.85,0.05,50000,20300357,2403.558,"block_0357.rds","ec7a0e90bf8a6521336d4780f28a5cc0",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
358,"prev_strata",5,30,0.85,0.2,50000,20300358,2536.547,"block_0358.rds","895a55778c8798834ad637c0393a6724",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
362,"prev_strata",5,30,0.92,0.05,50000,20300362,2698.039,"block_0362.rds","b280b423851a47e0e634bcc0e403b893",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
360,"prev_strata",5,30,0.85,0.8,50000,20300360,2578.439,"block_0360.rds","3d080d59de0d74cf7e26a1c859b3dd23",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
361,"prev_strata",5,30,0.85,0.95,50000,20300361,2435.926,"block_0361.rds","cad9f41426ca2a191131037cc73996aa",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
365,"prev_strata",5,30,0.92,0.8,50000,20300365,3067.039,"block_0365.rds","c519005c7404e6a706692d49ebe88683",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
363,"prev_strata",5,30,0.92,0.2,50000,20300363,3013.012,"block_0363.rds","7bbfdad1a8219263b7b95f71398b21eb",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
364,"prev_strata",5,30,0.92,0.5,50000,20300364,2761.119,"block_0364.rds","62debeae2d6bbed96d66eb2bd6942826",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
366,"prev_strata",5,30,0.92,0.95,50000,20300366,2718.595,"block_0366.rds","72e3508d48ae9b0fa9056f7914d9dce9",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
367,"prev_strata",5,30,0.97,0.05,50000,20300367,3270.148,"block_0367.rds","2c8aff07ab1064b5c291c833dd7cf2d6",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
368,"prev_strata",5,30,0.97,0.2,50000,20300368,3801.297,"block_0368.rds","8ac41eb4b86167f3d95613e432b9980f",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
369,"prev_strata",5,30,0.97,0.5,50000,20300369,3693.4,"block_0369.rds","8d1937fb9b005eb91cd099cdf58c2472",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
371,"prev_strata",5,30,0.97,0.95,50000,20300371,3330.789,"block_0371.rds","ed3f7e7813fa00a55af822034ee0287a",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
370,"prev_strata",5,30,0.97,0.8,50000,20300370,3893.616,"block_0370.rds","0d8520b5ff2293dfdd818580888085a4",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
372,"prev_strata",5,50,0.65,0.05,50000,20300372,2298.338,"block_0372.rds","ae037ffcef03ced1ebceb7f2a006a67c",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
374,"prev_strata",5,50,0.65,0.5,50000,20300374,2390.823,"block_0374.rds","1ed5dd18795b9e473f62bf28a5b67152",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
373,"prev_strata",5,50,0.65,0.2,50000,20300373,2400.049,"block_0373.rds","c9b4284b47215e756d7f6d32a53e08d0",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
375,"prev_strata",5,50,0.65,0.8,50000,20300375,2400.741,"block_0375.rds","2098e50b354120ddd3349d2f05027c3e",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
377,"prev_strata",5,50,0.75,0.05,50000,20300377,2440.481,"block_0377.rds","9456fd227a390d17c4259930d79d0375",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
376,"prev_strata",5,50,0.65,0.95,50000,20300376,2319.843,"block_0376.rds","ed4780830bb42dc3d491ec6e32cd70a4",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
378,"prev_strata",5,50,0.75,0.2,50000,20300378,2516.175,"block_0378.rds","05beaa810d02d718dd42118b86dc182e",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
380,"prev_strata",5,50,0.75,0.8,50000,20300380,2510.005,"block_0380.rds","0e4c200f3f56439e4fde83f5fc67ebe5",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
